date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:45	17757/17757	---MCZ	200	added ('OK')	text/html	etag:%22161d2e-455d-5453dcd5ea035-gzip%22	http://math.iisc.ac.in/seminars2017/jan09.htm	math.iisc.ac.in/seminars2017/jan09.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:45	18681/18681	---MCZ	200	added ('OK')	text/html	etag:%22161d2b-48f9-5453e13f21da8-gzip%22	http://math.iisc.ac.in/seminars2017/jan10.htm	math.iisc.ac.in/seminars2017/jan10.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:45	17996/17996	---MCZ	200	added ('OK')	text/html	etag:%22161d33-464c-5466bbf1317c0-gzip%22	http://math.iisc.ac.in/seminars2017/jan11.htm	math.iisc.ac.in/seminars2017/jan11.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:46	17356/17356	---MCZ	200	added ('OK')	text/html	etag:%22161d30-43cc-5453e13f21da8-gzip%22	http://math.iisc.ac.in/seminars2017/jan18.htm	math.iisc.ac.in/seminars2017/jan18.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:46	17683/17683	---MCZ	200	added ('OK')	text/html	etag:%22161d2a-4513-5466ba2d81a55-gzip%22	http://math.iisc.ac.in/seminars2017/jan20.htm	math.iisc.ac.in/seminars2017/jan20.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:46	17645/17645	---MCZ	200	added ('OK')	text/html	etag:%22161d26-44ed-548192a26efc1-gzip%22	http://math.iisc.ac.in/seminars2017/jan31.htm	math.iisc.ac.in/seminars2017/jan31.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:47	18057/18057	---MCZ	200	added ('OK')	text/html	etag:%22161d48-4689-553f003c7c277-gzip%22	http://math.iisc.ac.in/seminars2017/jul03.htm	math.iisc.ac.in/seminars2017/jul03.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:47	17704/17704	---MCZ	200	added ('OK')	text/html	etag:%22161d42-4528-553f38bcd2995-gzip%22	http://math.iisc.ac.in/seminars2017/jul12.htm	math.iisc.ac.in/seminars2017/jul12.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:47	17720/17720	---MCZ	200	added ('OK')	text/html	etag:%22161d47-4538-553eed9121b8e-gzip%22	http://math.iisc.ac.in/seminars2017/jun06.htm	math.iisc.ac.in/seminars2017/jun06.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:48	18100/18100	---MCZ	200	added ('OK')	text/html	etag:%22161c83-46b4-553eebd8dcfac-gzip%22	http://math.iisc.ac.in/seminars2017/jun14.htm	math.iisc.ac.in/seminars2017/jun14.html	(from http://math.iisc.ac.in/seminars2017/)
